buurtcode,reachable_buurten_10min,avg_bike_minutes_to_reachable,avg_bike_distance_to_reachable,bikeshed_total_amenities,bikeshed_utilitarian_amenities,bikeshed_leisure_social_amenities
BU05031101,58,5.980344827586205,1744.5265517241378,456.0,279.0,177.0
BU05051918,16,6.5981250000000005,1942.345625,58.0,45.0,13.0
BU05130405,36,6.41,1879.4952777777778,298.0,203.0,95.0
BU05181882,29,6.443448275862069,1867.2262068965515,451.0,238.0,213.0
BU05184107,23,7.5826086956521745,2217.3052173913043,126.0,90.0,36.0
BU06871416,22,6.380454545454547,1877.4368181818181,119.0,75.0,44.0
BU06871768,17,6.644117647058823,1871.016470588235,73.0,54.0,19.0
BU07170001,4,3.4425,961.1949999999999,27.0,14.0,13.0
BU07722370,27,5.421851851851852,1520.827037037037,243.0,124.0,119.0
BU0363FH01,25,6.774400000000001,1836.3904,243.0,144.0,99.0
BU0363TB01,41,6.714878048780487,1924.8858536585367,322.0,200.0,122.0
BU03850207,16,5.188750000000001,1367.9381250000004,122.0,85.0,37.0
BU03921903,50,6.2606,1810.5625999999995,347.0,231.0,116.0
BU03940557,24,5.928333333333332,1723.0041666666666,215.0,130.0,85.0
BU03940558,27,6.444814814814815,1879.1692592592594,243.0,154.0,89.0
BU03940559,18,6.548333333333334,1894.9933333333336,157.0,95.0,62.0
BU03960603,25,6.1512,1792.4008,159.0,117.0,42.0
BU06370102,93,6.647096774193548,1793.863440860215,99.0,70.0,29.0
BU08552101,88,6.739204545454546,1880.659318181818,669.0,375.0,294.0
BU08240601,21,5.523333333333333,1624.301904761905,97.0,63.0,34.0
BU08281001,10,6.651000000000001,1783.1170000000002,59.0,36.0,23.0
BU05690512,3,5.066666666666666,1448.0966666666666,0.0,0.0,0.0
BU08553806,54,6.46888888888889,1844.9700000000007,362.0,235.0,127.0
BU08580106,12,6.636666666666667,1954.9941666666664,96.0,67.0,29.0
BU08990345,35,6.252285714285715,1725.0511428571433,183.0,117.0,66.0
BU08990521,45,5.871555555555556,1687.1908888888895,267.0,169.0,98.0
BU09950744,54,6.6681481481481475,1924.1285185185188,280.0,218.0,62.0
BU16211552,21,7.252857142857142,2145.149047619048,122.0,95.0,27.0
BU16670002,4,5.8925,1720.855,34.0,21.0,13.0
BU16760509,2,1.88,551.785,26.0,13.0,13.0
BU16900800,4,3.125,938.5075,27.0,16.0,11.0
BU17110159,13,4.683076923076923,1401.0415384615385,4.0,4.0,0.0
BU17240014,23,4.463043478260869,1287.306086956522,105.0,71.0,34.0
BU17290300,6,5.8500000000000005,1716.8466666666666,60.0,33.0,27.0
BU17290500,6,5.903333333333333,1469.955,41.0,20.0,21.0
BU17420304,5,5.362,1533.6780000000003,37.0,23.0,14.0
BU19000119,12,7.108333333333333,1946.8941666666667,86.0,63.0,23.0
BU19240002,2,4.21,1235.695,12.0,9.0,3.0
BU19260222,16,5.14625,1485.708125,126.0,94.0,32.0
BU19451002,2,4.835,1452.565,18.0,10.0,8.0
BU19451100,3,4.61,1376.7833333333335,20.0,13.0,7.0
BU19612001,25,5.7536000000000005,1617.3532,134.0,99.0,35.0
BU19691204,2,4.46,1282.505,4.0,4.0,0.0
BU19691301,4,4.717499999999999,1404.095,28.0,21.0,7.0
BU19780205,4,6.0024999999999995,1781.7000000000003,26.0,19.0,7.0
BU19800104,8,6.932499999999999,2059.5600000000004,48.0,33.0,15.0
BU19820303,11,7.082727272727274,2096.2854545454543,59.0,40.0,19.0
BU19820403,4,4.49,1347.0000000000002,19.0,13.0,6.0
BU00345702,7,6.958571428571429,2053.91,20.0,20.0,0.0
BU00590109,3,3.266666666666667,979.0033333333332,19.0,13.0,6.0
BU00804102,40,6.783500000000001,1951.3272499999996,322.0,187.0,135.0
BU00851103,18,4.501111111111111,1269.4205555555554,98.0,72.0,26.0
BU01060503,33,7.291818181818181,2126.8548484848484,187.0,132.0,55.0
BU01060507,50,7.0043999999999995,2063.8976000000002,259.0,190.0,69.0
BU01470001,16,5.713125,1607.62125,123.0,76.0,47.0
BU01470006,12,4.946666666666666,1462.4591666666668,102.0,62.0,40.0
BU01600101,6,5.545000000000001,1579.2666666666667,36.0,28.0,8.0
BU01711149,3,3.8699999999999997,561.7366666666667,13.0,12.0,1.0
BU01730500,8,4.98625,1442.8937500000002,102.0,64.0,38.0
BU01931150,33,5.9393939393939394,1729.248484848485,349.0,214.0,135.0
BU02020733,42,5.687857142857143,1564.0011904761902,412.0,228.0,184.0
BU02020735,40,5.863,1669.5974999999999,389.0,218.0,171.0
BU02090142,31,5.604838709677418,1543.6974193548388,150.0,109.0,41.0
BU02320002,12,5.0525,1341.4741666666666,83.0,49.0,34.0
BU02730100,1,0.0,0.0,4.0,3.0,1.0
BU02741102,17,5.626470588235294,1540.5611764705882,99.0,67.0,32.0
BU02850507,13,6.071538461538462,1723.1892307692308,9.0,4.0,5.0
BU02960701,20,6.9475,2053.8075,83.0,65.0,18.0
BU03072007,50,6.845200000000002,2020.7854,285.0,213.0,72.0
BU03750003,49,5.4924489795918365,1604.9746938775509,332.0,233.0,99.0
BU03840101,39,7.1297435897435895,2019.5161538461539,300.0,183.0,117.0
BU03880303,14,6.945714285714286,2029.834285714286,83.0,54.0,29.0
BU03921201,52,6.15096153846154,1783.6201923076917,454.0,290.0,164.0
BU03990601,20,5.335500000000001,1522.4445,114.0,79.0,35.0
BU03990602,17,5.764705882352941,1572.0041176470586,107.0,72.0,35.0
BU04170320,15,5.5440000000000005,1659.0906666666665,120.0,86.0,34.0
BU04320103,34,5.195294117647059,1550.4494117647057,127.0,101.0,26.0
BU05182110,34,6.626764705882353,1987.337352941177,602.0,340.0,262.0
BU05460506,35,6.817428571428569,1796.9688571428571,426.0,242.0,184.0
BU05530404,32,5.7134375,1684.6840624999995,155.0,110.0,45.0
BU05992196,2,2.785,777.8,11.0,8.0,3.0
BU06060606,58,5.600517241379312,1615.0256896551723,414.0,255.0,159.0
BU06060610,62,6.000806451612905,1692.108064516129,449.0,275.0,174.0
BU06270104,20,5.173499999999999,1381.6574999999998,150.0,105.0,45.0
BU06420606,47,5.8874468085106395,1648.824255319149,168.0,135.0,33.0
BU06420609,37,6.299189189189188,1679.177027027027,130.0,108.0,22.0
BU07160109,3,5.04,1443.9233333333334,27.0,17.0,10.0
BU07580500,20,6.013,1744.8855000000003,310.0,158.0,152.0
BU07725440,13,6.734615384615385,1903.7307692307695,120.0,80.0,40.0
BU07726120,39,6.725897435897436,1834.9382051282055,418.0,215.0,203.0
BU07960303,26,6.215769230769232,1830.6415384615389,236.0,135.0,101.0
BU08520302,1,0.0,0.0,3.0,3.0,0.0
BU02850505,11,3.456363636363636,1015.1945454545456,0.0,0.0,0.0
BU0363AA05,109,6.259541284403671,1870.4337614678905,1244.0,518.0,726.0
BU0363AK04,66,6.9609090909090865,1877.3059090909087,829.0,385.0,444.0
BU0363AK06,66,6.221363636363636,1762.1859090909088,824.0,386.0,438.0
BU03072100,52,6.419615384615383,1819.1357692307693,333.0,254.0,79.0
BU03080002,17,4.31235294117647,1277.6888235294118,117.0,79.0,38.0
