buurtcode,klasse_apotheek,klasse_basisschool,klasse_bushalte,klasse_fastfood,klasse_horeca,klasse_huisarts,klasse_kinderopvang,klasse_kledingwinkel,klasse_restaurant,klasse_sportterrein,klasse_supermarkt,klasse_treinstation,klasse_voortgezet_onderwijs,klasse_ziekenhuis,aantal_drinkwaterpunt,utilitarian_amenities,leisure_social_amenities,total_amenities
BU08260101,2.0,2.0,2,1.0,2.0,2.0,2,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1,12.0,6.0,18.0
BU08260102,1.0,0.0,2,0.0,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,8.0,0.0,8.0
BU08260200,0.0,0.0,2,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,4.0,2.0,6.0
BU08260201,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0
BU08260300,0.0,1.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,7.0,0.0,7.0
BU08260301,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,0.0,4.0
BU08260400,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,3.0,0.0,3.0
BU08260401,2.0,0.0,2,0.0,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,9.0,0.0,9.0
BU08260500,0.0,1.0,2,2.0,2.0,0.0,1,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0,6.0,8.0,14.0
BU08260501,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0
BU08260502,0.0,1.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.0,2.0,6.0
BU08260503,1.0,0.0,1,0.0,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,0.0,5.0
