buurtcode,buurtnaam,gemeente,a_inw,elderly_share,bikeshed_utilitarian_amenities,bikeshed_leisure_social_amenities,elderly_amenity_priority_score
BU07700102,Bedrijventerrein Duizel,Eersel,25,0.2,50.0,20.0,0.5953471717115202
BU08580009,Turfbergse Heide & Nederheide,Valkenswaard,355,0.2253521126760563,48.0,36.0,0.5951036381102033
BU07430402,Nieuwe Bloemenbuurt,Asten,515,0.3009708737864077,76.0,27.0,0.5945029357619753
BU07722390,Leenderheide,Eindhoven,0,,5.0,0.0,0.5931740614334471
BU17240405,Beukenlaan e.o.,Bergeijk,330,0.2121212121212121,57.0,19.0,0.5914590146979786
BU17240401,Heijerstraat-Loveren,Bergeijk,355,0.2112676056338028,54.0,24.0,0.5911147745872088
BU07700005,Bedrijventerrein Eersel,Eersel,65,0.1538461538461538,44.0,13.0,0.590814464447878
BU07430503,De Bergen,Asten,455,0.2747252747252747,72.0,26.0,0.5902851191219121
BU17240012,Van den Valgaetstraat e.o.,Bergeijk,365,0.273972602739726,69.0,31.0,0.5899812528118866
BU07725210,Kerkdorp Acht,Eindhoven,3510,0.2777777777777778,69.0,33.0,0.5898639785648123
BU16670008,Buitengebied ten noorden van Reusel,Reusel-De Mierden,795,0.10062893081761,28.0,15.0,0.5897312343871347
BU08580004,Hoge Akkers,Valkenswaard,3280,0.2911585365853658,66.0,45.0,0.5894757796540087
BU17240006,Kept e.o.,Bergeijk,865,0.2890173410404624,71.0,36.0,0.5891704120498223
BU08230008,Verspreide huizen Zuid-Oirschotse Heide,Oirschot,1320,0.1439393939393939,37.0,23.0,0.5882113531668727
BU08580002,Turfberg-Noord,Valkenswaard,2870,0.2526132404181184,58.0,42.0,0.587438179287037
BU17710003,Zesgehuchten,Geldrop-Mierlo,3970,0.2858942065491184,72.0,35.0,0.5873756426711216
BU07941700,Stiphout-Dorp,Helmond,5000,0.307,71.0,47.0,0.5873470821910144
BU08580103,Brouwershof,Valkenswaard,1700,0.2264705882352941,61.0,25.0,0.5868199815034838
