Wogem_DANS24,life_stage,n_trips_unweighted,weighted_trips,cycling_share,car_share,utilitarian_trip_share,leisure_social_trip_share,avg_dist_km,gemeente,n_buurten,population,pop_weighted_total_access,pop_weighted_utilitarian_access,pop_weighted_leisure_social_access,share_high_density,share_vinex_like,elderly_share,family_hh_share,dominant_type,municipality_name
820,Family w/ Kids,41,49.8511694020943,0.09921839715830884,0.41344622364790706,0.28177104031372596,0.5974379505753845,0.9660148209139563,"Nuenen, Gerwen en Nederwetten",10.0,24290.0,63.65561959654179,42.53581720872787,21.11980238781392,0.0,0.4,0.2731576780568135,0.3498366228289796,Mixed gemeente,"Nuenen, Gerwen en Nederwetten"
820,Mid-life No Kids (30-54),26,24.895904818363054,0.22543239553990688,0.27601549722586655,0.3333773093193511,0.6310512006438614,0.9660148209139565,"Nuenen, Gerwen en Nederwetten",10.0,24290.0,63.65561959654179,42.53581720872787,21.11980238781392,0.0,0.4,0.2731576780568135,0.3498366228289796,Mixed gemeente,"Nuenen, Gerwen en Nederwetten"
820,Older Adult (55-69),43,41.053958511185996,0.18967695829396355,0.4587500856353403,0.5667336203496678,0.38114099663939105,0.9660148209139564,"Nuenen, Gerwen en Nederwetten",10.0,24290.0,63.65561959654179,42.53581720872787,21.11980238781392,0.0,0.4,0.2731576780568135,0.3498366228289796,Mixed gemeente,"Nuenen, Gerwen en Nederwetten"
820,Senior (70+),65,45.116296791722334,0.47460978981825425,0.26707370848213685,0.4825745495559126,0.35421914581690594,0.9660148209139564,"Nuenen, Gerwen en Nederwetten",10.0,24290.0,63.65561959654179,42.53581720872787,21.11980238781392,0.0,0.4,0.2731576780568135,0.3498366228289796,Mixed gemeente,"Nuenen, Gerwen en Nederwetten"
820,Young Adult (18-29),15,15.827318214220316,0.19697964875991547,0.4865241476717626,0.35642707418582265,0.4255217776502737,0.9660148209139564,"Nuenen, Gerwen en Nederwetten",10.0,24290.0,63.65561959654179,42.53581720872787,21.11980238781392,0.0,0.4,0.2731576780568135,0.3498366228289796,Mixed gemeente,"Nuenen, Gerwen en Nederwetten"
823,Child/Teen (<18),18,24.562094152251905,0.30754535423949075,0.34666510770917913,0.5429869087888916,0.45701309121110834,1.3067762989506015,Oirschot,15.0,19535.0,48.77757870488866,30.738674174558486,18.03890453033017,0.0,0.3333333333333333,0.2503199385717942,0.3567013369620661,Mixed gemeente,Oirschot
823,Family w/ Kids,10,8.582424895614407,0.0,0.46993138382365957,0.18805793913006688,0.5091337592356835,1.3067762989506015,Oirschot,15.0,19535.0,48.77757870488866,30.738674174558486,18.03890453033017,0.0,0.3333333333333333,0.2503199385717942,0.3567013369620661,Mixed gemeente,Oirschot
823,Mid-life No Kids (30-54),4,3.4605231610149083,0.3462013573905287,0.3268993213047356,0.3268993213047356,0.6731006786952644,1.3067762989506015,Oirschot,15.0,19535.0,48.77757870488866,30.738674174558486,18.03890453033017,0.0,0.3333333333333333,0.2503199385717942,0.3567013369620661,Mixed gemeente,Oirschot
823,Older Adult (55-69),33,33.878201057028534,0.3431316212616994,0.5105931661502942,0.4547640443033672,0.219225375562604,1.3067762989506015,Oirschot,15.0,19535.0,48.77757870488866,30.738674174558486,18.03890453033017,0.0,0.3333333333333333,0.2503199385717942,0.3567013369620661,Mixed gemeente,Oirschot
823,Senior (70+),8,7.931324921947225,0.6470569873789135,0.35294301262108646,0.4937019425860221,0.5062980574139779,1.3067762989506015,Oirschot,15.0,19535.0,48.77757870488866,30.738674174558486,18.03890453033017,0.0,0.3333333333333333,0.2503199385717942,0.3567013369620661,Mixed gemeente,Oirschot
